Merchant Name,Merchant ID,Store Name,Store ID,Updated On,Created On,Type,Category,Subcategory,Status,Transaction ID,Linked Transaction ID,Partner transaction ID 1,Partner transaction ID 2,Long Order ID,Short Order ID,Booking ID,Order Channel,Order Type,Payment Method,Receiving account / Source of fund,Terminal ID,Channel,Offer Type,Grab Fee (%),Points Multiplier,Points Issued,Settlement ID,Transfer Date,Amount,Tax on Order Value,Restaurant Packaging Charge,Non-Member Fee,Restaurant Service Charge,Offer,Discount (Merchant-Funded),Delivery Fee Discount (Merchant-Funded),Delivery Charge (Grab Online Store),Delivery Charge (Merchant Delivery),GrabExpress Delivery Service Fee,Net Sales,Net MDR,Tax on MDR,Grab Fee,Marketing success fee,Delivery Commission,Channel Commission,Order commission,Step-up commission,GrabKitchen Commission,GrabKitchen Other Commission,Withholding Tax,Total,Tax on MDR (%),Delivery Commission (%),Channel Commission (%),Order Commission (%),"Tax on GrabFood/GrabMart commission, adjustments, ads",Tax on Total GrabKitchen Commission,Cancellation Reason,Cancelled by,Reason for Refund,Description,Incident group,Incident alias,Customer refund Item,Appeal link,Appeal status
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,26 Mar 2026 11:22 AM,26 Mar 2026 10:45 AM,GrabFood,Payment ,,Transferred,4625637139sp00000000000000000000,,,,001973181508-C74EVNLGRJ6FGX,GF-993M,A-95X9OM8G37K5AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYQTJSQG2DG,27 Mar 2026 9:01 AM,4.8,0,0,,,,0,0,,0,0,4.8,,,,0,,,-1.45,0,0,0,0,3.35,,,,,-0.11,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,26 Mar 2026 10:27 AM,26 Mar 2026 9:47 AM,GrabFood,Payment ,,Transferred,4625493565sp00000000000000000000,,,,001395174354-C74EUFUCVEM1R6,GF-890,A-95X4CK4GWDJOAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYQTJSQG2DG,27 Mar 2026 9:01 AM,24.7,0,0,,,,0,0,,0,0,24.7,,,,0,,,-7.47,0,0,0,0,17.23,,,,,-0.55,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,26 Mar 2026 9:06 AM,26 Mar 2026 7:50 AM,GrabFood,Payment ,,Transferred,4625320331sp00000000000000000000,,,,001895591372-C74ETKVUAYUBLA,GF-495F,A-95WPO6KWX862AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYQTJSQG2DG,27 Mar 2026 9:01 AM,85.4,0,0,,,,-4,0,,0,0,81.4,,,,0,,,-24.61,0,0,0,0,56.79,,,,,-1.82,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,26 Mar 2026 8:05 AM,26 Mar 2026 7:35 AM,GrabFood,Payment ,,Transferred,4625237320sp00000000000000000000,,,,001355526155-C74ETF43N8CURE,GF-319,A-95WOCLRWWAN6AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYQTJSQG2DG,27 Mar 2026 9:01 AM,18.3,0,0,,,,0,0,,0,0,18.3,,,,0,,,-5.53,0,0,0,0,12.77,,,,,-0.41,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,26 Mar 2026 7:48 AM,26 Mar 2026 6:57 AM,GrabFood,Payment ,,Transferred,4625220507sp00000000000000000000,,,,00107315236-C74ESFCZNKXBAT,GF-166,A-95WKS7NWX7K5AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYQTJSQG2DG,27 Mar 2026 9:01 AM,27.65,0,0,,,,0,0,,0,0,27.65,,,,0,,,-8.36,0,0,0,0,19.29,,,,,-0.62,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,25 Mar 2026 12:33 PM,25 Mar 2026 11:32 AM,GrabFood,Payment ,,Transferred,4622992250sp00000000000000000000,,,,001123066837-C74EBFK2TJNJLX,GF-155,A-94TA68OWWGRXAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYBN81XSUEV,26 Mar 2026 9:06 AM,23.1,0,0,,,,0,0,,0,0,23.1,,,,0,,,-6.99,0,0,0,0,16.11,,,,,-0.52,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,25 Mar 2026 11:59 AM,25 Mar 2026 11:21 AM,GrabFood,Payment ,,Transferred,4622849082sp00000000000000000000,,,,001037932546-C74EBCJXA3EUJE,GF-948,A-94T97OIGWJAEAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYBN81XSUEV,26 Mar 2026 9:06 AM,22.8,0,0,,,,0,0,,0,0,22.8,,,,0,,,-6.89,0,0,0,0,15.91,,,,,-0.51,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,25 Mar 2026 7:37 AM,25 Mar 2026 6:55 AM,GrabFood,Payment ,,Transferred,4622292849sp00000000000000000000,,,,001816072-C74DVLLFJPBTAJ,GF-313,A-94SGSXIGWJ3DAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYBN81XSUEV,26 Mar 2026 9:06 AM,47.4,0,0,,,,-4,0,,0,0,43.4,,,,0,,,-13.12,0,0,0,0,30.28,,,,,-0.97,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,25 Mar 2026 7:23 AM,25 Mar 2026 6:53 AM,GrabFood,Payment ,,Transferred,4622284317sp00000000000000000000,,,,00130595926-C74DVLBTBAJ1JE,GF-904,A-94SGMDDGWFQEAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYBN81XSUEV,26 Mar 2026 9:06 AM,23.7,0,0,,,,0,0,,0,0,23.7,,,,0,,,-7.17,0,0,0,0,16.53,,,,,-0.53,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,23 Mar 2026 7:30 AM,23 Mar 2026 7:00 AM,GrabFood,Payment ,,Transferred,4617763177sp00000000000000000000,,,,0015873466-C74CEBCKRJVUFE,GF-042,A-94K9LDXWXWQXAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYX6R29FPMD,24 Mar 2026 9:03 AM,38.25,0,0,,,,-4,0,,0,0,34.25,,,,0,,,-10.36,0,0,0,0,23.89,,,,,-0.77,0,,,,,,,,,
